"id","name","email","email_verified_at","password","role","department","phone","birth_date","gender","year","major","parent_id","remember_token","created_at","updated_at"
"1","Kamr Rashad","kr@gmail.com",NULL,"$2y$12$2l99N6b8RGgauAr63os/2.w0CHvkT9hQ9OjCb1bPeXIyrJ5Pa9dDq","parent",NULL,"0593230125","1973-05-03","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:05","2025-04-29 10:57:05"
"2","Khaled Kamr","kk@gmail.com",NULL,"$2y$12$zCcdtxNuRofSBAc3wtZj/Oag10nuoZRZuJYRWSD.xGpTK0OAlxSRi","student",NULL,"01006379503","2003-07-03","male","senior","Computer Science","1",NULL,"2025-04-29 10:57:05","2025-05-30 12:59:32"
"3","Yossif Kamr","yk@gmail.com",NULL,"$2y$12$zV7WopqyA02cdgQXxsKYPushbKpRy5zfv/nBMo.RxS8f2L4Or.3BS","student",NULL,"01006379503","2005-07-03","male","junior","Computer Science","1",NULL,"2025-04-29 10:57:06","2025-04-29 10:57:06"
"4","Dr. Mohamed Marey","mm@gmail.com",NULL,"$2y$12$SYoQukEtLq2Q1dTsqxG/DerWZ0BUpggM6SDhbx4rRLmSuPF2xgHM.","professor","Artificial Intelligence","0123456789","1980-01-01","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:06","2025-04-29 10:57:06"
"5","Dr. Elroy Steuber","williamson.kole@example.com",NULL,"$2y$12$LG2Jz8ixvLjDSN9NJM//y.IFbtxcvnUXAX.pWzrlxaNMKEvxOqkJe","professor","General Education","609-370-0738","1979-09-03","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:08","2025-04-29 10:57:08"
"6","Dr. Cordia Gorczany","stiedemann.robin@example.com",NULL,"$2y$12$G1sPoWXujGNS5C2V77TefOK3lN55c3BRWqo56PYNr6G0qi7dWzTCy","professor","General Education","+1 (760) 467-3240","1994-09-04","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:08","2025-04-29 10:57:08"
"7","Dr. Ignacio Donnelly","fswaniawski@example.com",NULL,"$2y$12$niCwwirjCaDqhnacM/ZSgesF9ryfHqzZjCD70ub3sSuMmaMCBIMGa","professor","General Education","(970) 307-8393","1991-07-06","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:08","2025-04-29 10:57:08"
"8","Dr. Ali Glover","gutmann.brian@example.org",NULL,"$2y$12$TvgKeqwZ9C129aFZ4bHPm.Xkl.F/uhmMvAmRcOhS/3jxilFappmVi","professor","General Education","517.308.1692","1966-03-25","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:08","2025-04-29 10:57:08"
"9","Dr. Kamron Boyer","kevin.gislason@example.net",NULL,"$2y$12$XnEziexOe.JluY4ERMdfDuP99jDQrUImvCzkgt2w755WhblaOorAa","professor","General Education","+12834427849","1977-02-21","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:08","2025-04-29 10:57:08"
"10","Dr. Carmela Swift","keven79@example.net",NULL,"$2y$12$GrU/BH2aME4lnlAsqFeveect7pFaf2jSpr/gpzfrkfKA/jl/jAAPC","professor","General Education","914-957-1744","1983-08-11","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:08","2025-04-29 10:57:08"
"11","Dr. Ole Beier","elenor.hills@example.org",NULL,"$2y$12$MD2aHNC2/DPgYD4wz3n3xOKJnptISwgtD/IO8Om2gRvBA6LA.xpiO","professor","Computer Science","(608) 257-7596","1971-08-25","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:09","2025-04-29 10:57:09"
"12","Dr. Monserrate Ullrich","pamela27@example.com",NULL,"$2y$12$8PQy4ccIgtCqRztgDlEnreNwX1QW.9Kz7lQ1FckhYX9rpkh9nlIh.","professor","Computer Science","+1-469-440-0670","1980-03-06","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:11","2025-04-29 10:57:11"
"13","Dr. Brandt Kub","zheathcote@example.net",NULL,"$2y$12$g3UL.Aah9T1/n.lv2d8D3.F.ur8LpYW/mrWDiYFQdz7EP.gTLmvr2","professor","Computer Science","+1-279-756-1827","1990-03-21","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:11","2025-04-29 10:57:11"
"14","Dr. Citlalli Legros","raphaelle27@example.com",NULL,"$2y$12$BBrIFmIwHoQZkfusMpwfDeu95EC5nj/TWZZ1C7kGJcyKn.QroziAq","professor","Computer Science","310.366.3068","1965-04-30","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:11","2025-04-29 10:57:11"
"15","Dr. Emil Eichmann","bettie68@example.org",NULL,"$2y$12$7L0I557itipKV7Rg8S7TVu0koMqYCpYLWLRaKjcwtef8hsS8bDDCu","professor","Computer Science","283-210-3816","1993-02-26","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:11","2025-04-29 10:57:11"
"16","Dr. Enid Ernser","georgette.wiza@example.org",NULL,"$2y$12$ookeGZI5kljd9grWfVQz9eEEtcBG5.qdRr0d/J/ziUcRrf92TCQSa","professor","Computer Science","+1.919.271.5289","1968-04-13","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:11","2025-04-29 10:57:11"
"17","Dr. Priscilla Runte","jarred79@example.org",NULL,"$2y$12$eCwikLwDT8opREE3BFRNY.cq/OzlBJbrA1z4JcEtnIbSEZoNc/asW","professor","Artificial Intelligence","+1-757-765-4286","1968-05-11","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:12","2025-04-29 10:57:12"
"18","Dr. Violet Wiegand","sdurgan@example.net",NULL,"$2y$12$8N/K5IlTwDbNH.PhpnK3Ret74Y/ms/Kn3OqJwjNSookQXk18joCJ2","professor","Artificial Intelligence","304.574.1464","1977-02-03","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:13","2025-04-29 10:57:13"
"19","Dr. Camylle Brekke","jana.legros@example.org",NULL,"$2y$12$09WsA5VSGHSSZYjoO8ve3e/AeX6rv4M8UdcOCRAWxB.4h2QO4qjli","professor","Artificial Intelligence","+1.443.844.6034","1970-08-20","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:13","2025-04-29 10:57:13"
"20","Dr. Sammie Hammes","kilback.laverne@example.org",NULL,"$2y$12$oH5OnfIFYXtX9aA/no9nCeCAKMnkvKM7BDf3w52x2YXXYdD015s2O","professor","Artificial Intelligence","1-682-627-7266","1968-03-07","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:13","2025-04-29 10:57:13"
"21","Dr. Harmon Schumm","hintz.janelle@example.net",NULL,"$2y$12$bPR/Rm4E5EifP9LRStCwMeoGVRODEk0OS.EoSmNj7WwKv/n3q.jwG","professor","Artificial Intelligence","505-238-1068","1967-03-25","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:13","2025-04-29 10:57:13"
"22","Dr. Ricardo Powlowski","reginald.cole@example.org",NULL,"$2y$12$dk8.PIM1Th1dMJW.y0QKDOppU7FbhDQ3pO1yfIZvNPk2Zq6d9zjgm","professor","Artificial Intelligence","+15596983772","1981-09-13","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:13","2025-04-29 10:57:13"
"23","Dr. Josue Lind","oschumm@example.org",NULL,"$2y$12$ZuEAOALP8HiVyhbDpnqD5.rRAqgQ87TjHodCo/bKzg6ZzBv8CbWwe","professor","Information System","404.625.1012","1970-03-21","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:15","2025-04-29 10:57:15"
"24","Dr. Kallie Goldner","pagac.art@example.org",NULL,"$2y$12$jm.iLn96dGIa0MkHuUt0qeM98NGK7KzXJtK4D8LunZ/8.x9Gxskp6","professor","Information System","1-219-624-4438","1970-12-02","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:15","2025-04-29 10:57:15"
"25","Dr. Stone Bashirian","olen.leuschke@example.org",NULL,"$2y$12$.PQHsSc5w1Qso9NlC1NLL.x996yKyosSjzPJci5s8lCpRDdzHy.ge","professor","Information System","(262) 723-9824","1976-02-18","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:15","2025-04-29 10:57:15"
"26","Dr. Carlie Kertzmann","owhite@example.com",NULL,"$2y$12$wtatvyEL1lYkcZ72DKWMyeQbhqgyBQY72lCj0a7k9JDJy025rOGBC","professor","Information System","+1.936.865.3035","1968-06-16","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:16","2025-04-29 10:57:16"
"27","Dr. Richie Hammes","arippin@example.org",NULL,"$2y$12$OZ0mEUCDcTmCcZnd/kBQSu2xTDO0f6H5GXTFWRAe586fooq7HXsce","professor","Information System","650.382.9604","1966-05-09","male",NULL,NULL,NULL,NULL,"2025-04-29 10:57:16","2025-04-29 10:57:16"
"28","Dr. Marina Ziemann","gerhard75@example.com",NULL,"$2y$12$rjs/PC6etdEOdmZW82KlJuEDNk0LK8iLvph0KtXZQW0sw5dpX8AHe","professor","Information System","+1-930-826-5363","1991-12-14","female",NULL,NULL,NULL,NULL,"2025-04-29 10:57:16","2025-04-29 10:57:16"
"29","Krystina Kuhic","nrice@example.net",NULL,"$2y$12$5GZQa.qR/NvqvUbJ2JGPperqSL2D4OMBzykycUk1RI8Sqp4r9CTq.","student",NULL,"1-769-212-0768","2005-11-15","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:40","2025-04-29 10:57:40"
"30","Santa Muller","schuster.forrest@example.net",NULL,"$2y$12$W6MkG87VCaHuI52/htx1TuKWoY40ZXGNfBZYQlhU9RihBLfhX/3zK","student",NULL,"901.432.8343","2004-08-31","male","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"31","Jaqueline Mitchell","steuber.devonte@example.net",NULL,"$2y$12$5v5kQI2B5fx3jc1prcAx0ejZGYsRk3t2x4x1h/GawM9ISplzaIhfy","student",NULL,"507-398-7450","2004-03-01","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
"32","Sandra Beier","wuckert.clare@example.net",NULL,"$2y$12$ltYEpFsCL/Y93jbUJsbgHO7CdxERByQ/WrRHDx.uZvcrxGXu1ufZu","student",NULL,"+1-646-339-7405","1997-07-12","female","freshman",NULL,NULL,NULL,"2025-04-29 10:57:41","2025-04-29 10:57:41"
